date_key,full_date,year,quarter,quarter_name,month_number,month_name,month_short,year_month,iso_week,day_of_month,day_of_week,day_name,day_short,is_weekend,day_of_year
20150504,2015-05-04,2015,2,Q2 2015,5,May,May,2015-05,19,4,1,Monday,Mon,False,124
20150505,2015-05-05,2015,2,Q2 2015,5,May,May,2015-05,19,5,2,Tuesday,Tue,False,125
20150506,2015-05-06,2015,2,Q2 2015,5,May,May,2015-05,19,6,3,Wednesday,Wed,False,126
20150507,2015-05-07,2015,2,Q2 2015,5,May,May,2015-05,19,7,4,Thursday,Thu,False,127
20150508,2015-05-08,2015,2,Q2 2015,5,May,May,2015-05,19,8,5,Friday,Fri,False,128
20150509,2015-05-09,2015,2,Q2 2015,5,May,May,2015-05,19,9,6,Saturday,Sat,True,129
20150510,2015-05-10,2015,2,Q2 2015,5,May,May,2015-05,19,10,7,Sunday,Sun,True,130
20150511,2015-05-11,2015,2,Q2 2015,5,May,May,2015-05,20,11,1,Monday,Mon,False,131
20150512,2015-05-12,2015,2,Q2 2015,5,May,May,2015-05,20,12,2,Tuesday,Tue,False,132
20150513,2015-05-13,2015,2,Q2 2015,5,May,May,2015-05,20,13,3,Wednesday,Wed,False,133
20150514,2015-05-14,2015,2,Q2 2015,5,May,May,2015-05,20,14,4,Thursday,Thu,False,134
20150515,2015-05-15,2015,2,Q2 2015,5,May,May,2015-05,20,15,5,Friday,Fri,False,135
20150516,2015-05-16,2015,2,Q2 2015,5,May,May,2015-05,20,16,6,Saturday,Sat,True,136
20150517,2015-05-17,2015,2,Q2 2015,5,May,May,2015-05,20,17,7,Sunday,Sun,True,137
20150518,2015-05-18,2015,2,Q2 2015,5,May,May,2015-05,21,18,1,Monday,Mon,False,138
20150519,2015-05-19,2015,2,Q2 2015,5,May,May,2015-05,21,19,2,Tuesday,Tue,False,139
20150520,2015-05-20,2015,2,Q2 2015,5,May,May,2015-05,21,20,3,Wednesday,Wed,False,140
20150521,2015-05-21,2015,2,Q2 2015,5,May,May,2015-05,21,21,4,Thursday,Thu,False,141
20150522,2015-05-22,2015,2,Q2 2015,5,May,May,2015-05,21,22,5,Friday,Fri,False,142
20150523,2015-05-23,2015,2,Q2 2015,5,May,May,2015-05,21,23,6,Saturday,Sat,True,143
20150524,2015-05-24,2015,2,Q2 2015,5,May,May,2015-05,21,24,7,Sunday,Sun,True,144
20150525,2015-05-25,2015,2,Q2 2015,5,May,May,2015-05,22,25,1,Monday,Mon,False,145
20150526,2015-05-26,2015,2,Q2 2015,5,May,May,2015-05,22,26,2,Tuesday,Tue,False,146
20150527,2015-05-27,2015,2,Q2 2015,5,May,May,2015-05,22,27,3,Wednesday,Wed,False,147
20150528,2015-05-28,2015,2,Q2 2015,5,May,May,2015-05,22,28,4,Thursday,Thu,False,148
20150529,2015-05-29,2015,2,Q2 2015,5,May,May,2015-05,22,29,5,Friday,Fri,False,149
20150530,2015-05-30,2015,2,Q2 2015,5,May,May,2015-05,22,30,6,Saturday,Sat,True,150
20150531,2015-05-31,2015,2,Q2 2015,5,May,May,2015-05,22,31,7,Sunday,Sun,True,151
20150601,2015-06-01,2015,2,Q2 2015,6,June,Jun,2015-06,23,1,1,Monday,Mon,False,152
20150602,2015-06-02,2015,2,Q2 2015,6,June,Jun,2015-06,23,2,2,Tuesday,Tue,False,153
20150603,2015-06-03,2015,2,Q2 2015,6,June,Jun,2015-06,23,3,3,Wednesday,Wed,False,154
20150604,2015-06-04,2015,2,Q2 2015,6,June,Jun,2015-06,23,4,4,Thursday,Thu,False,155
20150605,2015-06-05,2015,2,Q2 2015,6,June,Jun,2015-06,23,5,5,Friday,Fri,False,156
20150606,2015-06-06,2015,2,Q2 2015,6,June,Jun,2015-06,23,6,6,Saturday,Sat,True,157
20150607,2015-06-07,2015,2,Q2 2015,6,June,Jun,2015-06,23,7,7,Sunday,Sun,True,158
20150608,2015-06-08,2015,2,Q2 2015,6,June,Jun,2015-06,24,8,1,Monday,Mon,False,159
20150609,2015-06-09,2015,2,Q2 2015,6,June,Jun,2015-06,24,9,2,Tuesday,Tue,False,160
20150610,2015-06-10,2015,2,Q2 2015,6,June,Jun,2015-06,24,10,3,Wednesday,Wed,False,161
20150611,2015-06-11,2015,2,Q2 2015,6,June,Jun,2015-06,24,11,4,Thursday,Thu,False,162
20150612,2015-06-12,2015,2,Q2 2015,6,June,Jun,2015-06,24,12,5,Friday,Fri,False,163
20150613,2015-06-13,2015,2,Q2 2015,6,June,Jun,2015-06,24,13,6,Saturday,Sat,True,164
20150614,2015-06-14,2015,2,Q2 2015,6,June,Jun,2015-06,24,14,7,Sunday,Sun,True,165
20150615,2015-06-15,2015,2,Q2 2015,6,June,Jun,2015-06,25,15,1,Monday,Mon,False,166
20150616,2015-06-16,2015,2,Q2 2015,6,June,Jun,2015-06,25,16,2,Tuesday,Tue,False,167
20150617,2015-06-17,2015,2,Q2 2015,6,June,Jun,2015-06,25,17,3,Wednesday,Wed,False,168
20150618,2015-06-18,2015,2,Q2 2015,6,June,Jun,2015-06,25,18,4,Thursday,Thu,False,169
20150619,2015-06-19,2015,2,Q2 2015,6,June,Jun,2015-06,25,19,5,Friday,Fri,False,170
20150620,2015-06-20,2015,2,Q2 2015,6,June,Jun,2015-06,25,20,6,Saturday,Sat,True,171
20150621,2015-06-21,2015,2,Q2 2015,6,June,Jun,2015-06,25,21,7,Sunday,Sun,True,172
20150622,2015-06-22,2015,2,Q2 2015,6,June,Jun,2015-06,26,22,1,Monday,Mon,False,173
20150623,2015-06-23,2015,2,Q2 2015,6,June,Jun,2015-06,26,23,2,Tuesday,Tue,False,174
20150624,2015-06-24,2015,2,Q2 2015,6,June,Jun,2015-06,26,24,3,Wednesday,Wed,False,175
20150625,2015-06-25,2015,2,Q2 2015,6,June,Jun,2015-06,26,25,4,Thursday,Thu,False,176
20150626,2015-06-26,2015,2,Q2 2015,6,June,Jun,2015-06,26,26,5,Friday,Fri,False,177
20150627,2015-06-27,2015,2,Q2 2015,6,June,Jun,2015-06,26,27,6,Saturday,Sat,True,178
20150628,2015-06-28,2015,2,Q2 2015,6,June,Jun,2015-06,26,28,7,Sunday,Sun,True,179
20150629,2015-06-29,2015,2,Q2 2015,6,June,Jun,2015-06,27,29,1,Monday,Mon,False,180
20150630,2015-06-30,2015,2,Q2 2015,6,June,Jun,2015-06,27,30,2,Tuesday,Tue,False,181
